fic_id,chapter_id,para_id,text
13365297,1,1,"La convivencia al inici no fue f cil , maldici n , fue horrible si Bakugo era sincero , evitaba a casi todo el mundo y con suerte les dirig a la palabra una vez entraban a los dormitorios , no ten a ganas de relacionarse con ese mont n de extras ni por asomo . 
"
13365297,1,2,"O eso fue hasta que empez a hablar m s con Todoroki ($_todoroki) despu s del tema de la licencia , qui n sabe . 
"
13365297,1,3,"El tema va a como ambos empezaron a hacerse m s cercanos a ojos de todos pero nunca especificando en qu direcci n iba su relaci n , pero lo que desencaden todo fue el instante en el que descubrieron a Bakugo cocin ndole un pastel a Todoroki ($_todoroki) con el ltimo abraz ndole de la cintura mientras se mov an de aqu para all en aquel espacio reducido . 
"
13365297,1,4,"Bakugo nunca sinti tanta verg enza antes , si no hubiera sido por Shouto los hubiera matado all mismo . Las burlas que siguieron ese hecho s lo aumentaban sus ganas de hacerlos desaparecer de la faz de la tierra . 
"
13365297,1,5,"- Hey Katsuki , en qu piensas tanto ? Tu ce o est muy marcado , tendr s arrugas cuando seas m s viejo si sigues as - comento el bicolor dejando el libro que momentos atr s estaba leyendo de lado , ambos estaban en la habitaci n del chico p ker face haciendo lo suyo acostados en el fut n del m s alto cuando el rubio que se encontraba apoyando su frente en su pecho se empez a poner cada vez m s tenso . 
"
13365297,1,6,"- Juro que matare a esos bastardos alg n d a - fue la respuesta simple y corta que recibi , el medio albino suspiro inmediatamente al notar que era sobre lo que pensaba tanto el de ojos rub es y buscando una manera de distraerlo de eso tomo su ment n con una mano levant ndolo en su direcci n para luego robarle un fugaz beso . El de quirk explosivo se sonrojo furiosamente debido a su falta de costumbre en muestras de afecto y besos a n si estaban ellos dos solos provocando una ligera e imperceptible sonrisa en la bandera canadiense . 
"
13365297,1,7,"- No pienses tanto en eso , s lo disfruta el hecho de que estamos juntos y puedo abrazarte y besarte donde quiera porque ellos ya lo saben . 
"
13365297,1,8,"Claro que Shouto no noto el ligero tic que surgi en la ceja de su pareja avergonzado una vez t rmino la frase . Ya nadie se sorprendi?? por los gritos y maldiciones que resonaron en el edificio. 
"
13365297,1,9,"Ay , si tan s lo la convivencia fuera m s f cil . 
"
